Precatalyst,N-H nucleophile ,N-H nucleophile addition method,N-H nucleophile Inlet Injection (uL),N-H nucleophile concentration (M),N-H nucleophile equivalents,Aryl triflate concentration (M),Precatalyst loading in mol%,Internal Standard Concentration 1-fluoronaphthalene (g/L),Base,Base concentration (M),Base equivalents,Make-Up Solvent ID,Quench Outlet Injection (uL),Temperature (degC),Residence Time Actual (s),Residence Time Actual (min),Reaction Yield,Conversion,right censored performance
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.32,1.4,2-MeTHF,45,100,1895,32,35,48,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.01,1.1,2-MeTHF,45,74,2040,34,60,78,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.00,1.1,2-MeTHF,45,74,2037,34,62,77,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,1.08,1.2,2-MeTHF,45,75,2029,34,64,82,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTMG,0.99,1.1,2-MeTHF,45,70,1833,31,64,80,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,BTTP,1.00,1.1,2-MeTHF,45,70,2042,34,73,97,0
AlPhos,Morpholine,Liquid handler,0,1.21,1.3,0.91,1.98,10,MTBD,1.11,1.2,2-MeTHF,45,73,2002,33,69,98,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,DBU,3.00,3.3,2-MeTHF,15,100,383,6,12,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,DBU,1.00,1.1,2-MeTHF,15,100,77,1,5,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,DBU,2.01,2.2,2-MeTHF,15,100,1195,20,8,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,Triethylamine,3.00,3.3,2-MeTHF,15,30,1112,19,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,MTBD,3.00,3.3,2-MeTHF,15,30,1314,22,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,MTBD,1.50,1.6,2-MeTHF,15,100,1117,19,1,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,Triethylamine,1.00,1.1,2-MeTHF,15,30,74,1,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,MTBD,1.01,1.1,2-MeTHF,15,30,77,1,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,2.75,3.0,0.91,1.95,10,DBU,1.00,1.1,2-MeTHF,15,30,1295,22,5,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,1.83,2.0,0.91,1.95,10,MTBD,3.00,3.3,2-MeTHF,15,100,82,1,0,,0
tBuBrettPhos (Preliminary),Morpholine,Liquid handler,0,0.92,1.0,0.91,1.95,10,DBU,1.00,1.1,2-MeTHF,15,100,98,2,5,,0
